	length	avg_maf_all	avg_maf_altered	alter_num_aa	alter_num_aa_norm	alter_num_dna	alter_num_dna_norm	frac_alter	avg_poly	frac_poly_several	rare_poly_0.5%	rare_poly_0.05%	rare_poly_0.005%	BLOSUM_avg	weighted_BLOSUM_avg	pseudo_dNdS	SIFT	PolyPhen	num_genes	num_instances	num_genes_log2	num_instances_log2
7TM_GPCR_Srsx	257	0.000502154365854	0.00184577185946	8887	34.579766537	12621	49.1089494163	0.272056572583	1.21120738157	0.186114549342	0.982896365478	0.952402385507	0.807809159446	-0.38972500929	-0.000740152188592	0.125874287752	0.168440926862	0.575105273195	145	145	7.17990909001	7.17990909001
7tm_1	268	0.00119104558728	0.00400797293639	47227	176.220149254	67859	253.205223881	0.297169069298	1.23243060114	0.201558430559	0.971181739259	0.929637707244	0.77131725496	-0.468369871486	-0.00138310351465	0.265079394918	0.174576349187	0.507970960179	768	768	9.58496250072	9.58496250072
7tm_4	280	0.00183808273897	0.00581331349736	33656	120.2	48190	172.107142857	0.316185036263	1.24485975755	0.210720228191	0.959026622296	0.910625148562	0.753981459472	-0.480201446404	-0.00221526964312	0.355973310532	0.164513224259	0.465343917302	478	478	8.90086680798	8.90086680798
ABC_tran	137	0.000287903404685	0.00104368710942	2897	21.1459854015	4157	30.3430656934	0.275852218625	1.23196410079	0.205039696237	0.9855022437	0.95823265447	0.799792889196	-0.431213224993	0.000115854737181	0.0796503780551	0.12398552822	0.619978871201	69	107	6.10852445678	6.7414669864
Ank	32	0.000280401307727	0.00143483157745	3938	123.0625	4572	142.875	0.195424544688	1.15845606907	0.142712036567	0.988318943626	0.960385982732	0.79532757745	-0.224024550636	0.000328950745178	0.0731742374879	0.153614349776	0.643537744429	224	691	7.80735492206	9.43254190039
Ank_2	84	0.000347968664161	0.00179257462545	7206	85.7857142857	8393	99.9166666667	0.194116696299	1.1608381904	0.142381348876	0.986538995282	0.955176242021	0.771301693034	-0.251165570831	-0.000312416233293	0.101636588742	0.162394952836	0.609418826739	250	496	7.96578428466	8.95419631039
Ank_3	31	0.000175544353464	0.000787211121261	3109	100.290322581	4347	140.225806452	0.222995266102	1.17722740431	0.157928594403	0.993245416533	0.967192023159	0.807655194596	-0.240163934426	6.02058483607e-05	0.0539487633993	0.147245325147	0.645034814605	207	504	7.6934869575	8.9772799235
Ank_4	55	0.000230946630581	0.00109568332318	6727	122.309090909	9297	169.036363636	0.210778630738	1.17288538725	0.154303552847	0.98855359001	0.960309201724	0.798424260443	-0.278833967047	-3.29469389734e-05	0.0601740834797	0.159488112252	0.620375807941	262	656	8.03342300154	9.35755200462
Ank_5	56	0.000369389665438	0.00194400899224	5153	92.0178571429	6014	107.392857143	0.190014381061	1.1635940229	0.144964098583	0.985251309917	0.954783621192	0.776246846497	-0.301200800534	0.000326388928119	0.097494826504	0.164361683995	0.611816161268	241	572	7.91288933623	9.15987133678
Arf	175	0.00015811439881	0.000918906999359	3122	17.84	3600	20.5714285714	0.172067901235	1.14958360026	0.134208840487	0.99199231262	0.972773862908	0.826073030109	-0.166062970187	5.29642516021e-05	0.0590486878441	0.17654289004	0.524403118683	113	113	6.82017896242	6.82017896242
Arm	41	2.97602985563e-05	0.000142230681693	1087	26.512195122	1455	35.487804878	0.209239653513	1.17663293468	0.154553817847	0.998160073597	0.97516099356	0.835326586937	-0.118060985145	2.94300461298e-05	0.0138162031726	0.158362480127	0.593384737679	36	139	5.16992500144	7.11894107272
BTB	111	0.00014636548322	0.000741847546979	2863	25.7927927928	3893	35.0720720721	0.197298601061	1.17673768774	0.155780649668	0.993363604611	0.974851554314	0.838630806846	-0.200949836747	0.000460489910656	0.0652051250965	0.195237075558	0.551972468645	139	147	7.11894107272	7.19967234484
C1-set	89	0.00229525940519	0.00832430443102	1870	21.0112359551	2837	31.8764044944	0.275729873194	1.24652406417	0.218181818182	0.951336898396	0.906417112299	0.707486631016	-0.431574431574	0.00191715125075	0.144173772307	0.19324	0.493305333333	206	242	7.68650052718	7.91886323727
C2	103	0.000241050676289	0.000970672587132	5067	49.1941747573	7079	68.7281553398	0.248333660067	1.20051312414	0.175843694494	0.992303137951	0.965660153937	0.802052496546	-0.354265987177	-0.000435065969423	0.0840985667408	0.157419520548	0.599034225686	132	209	7.04439411936	7.70735913208
C2-set_2	90	0.0014191941226	0.00512041756748	1630	18.1111111111	2435	27.0555555556	0.277163747662	1.23558282209	0.203067484663	0.967484662577	0.930061349693	0.749693251534	-0.432969215492	0.00146060711048	0.152405196083	0.220206398349	0.482057791538	94	110	6.55458885168	6.78135971352
CH	109	8.10181459826e-05	0.000380276652018	2230	20.4587155963	3043	27.9174311927	0.213050539792	1.17578475336	0.156950672646	0.995067264574	0.973542600897	0.833632286996	-0.141113653699	0.000314707168955	0.0177111661845	0.12437890625	0.619723046875	74	110	6.20945336563	6.78135971352
CUB	110	0.00023535971943	0.000797968222128	4718	42.8909090909	6827	62.0636363636	0.294948737184	1.22297583722	0.195421788894	0.988766426452	0.962060194998	0.802034760492	-0.403986135182	-0.00026692082331	0.0604498163156	0.190939383197	0.598504076569	49	152	5.61470984412	7.24792751344
