	genes	instances
zf-C2H2	700	4624
zf-H2C2_2	430	1140
ig	393	880
Cadherin	143	864
I-set	230	828
fn3	155	759
Ig_2	346	732
EGF	165	728
Ank	224	691
Collagen	85	682
7tm_1	679	679
Ig_3	226	659
Ank_4	262	656
LRR_8	216	579
Ank_5	241	572
Ank_3	207	504
Ank_2	250	496
Pkinase_Tyr	481	494
7tm_4	485	485
EGF_CA	113	461
Pkinase	443	452
KRAB	441	448
V-set	361	389
RRM_1	230	388
Sushi	71	355
WD40	151	349
EGF_2	106	307
DUF1220	27	307
Homeobox	263	293
Spectrin	25	284
zf-C3HC4	271	275
PH	235	265
Keratin_B2_2	86	259
SH3_2	192	258
Kelch_1	74	258
PDZ	144	250
C1-set	206	242
zf-RING_UBOX	236	238
cEGF	51	230
SH3_9	173	226
SH3_1	175	225
zf-C2H2_6	165	221
zf-C2H2_4	162	218
zf-C3HC4_2	214	215
zf-RING_2	210	212
C2	133	210
Ldl_recept_a	43	208
Laminin_EGF	35	202
zf-C3HC4_3	189	194
hEGF	51	184
LRR_4	128	183
Ion_trans	114	182
EF-hand_1	101	180
LIM	80	175
TSP_1	59	172
Ras	167	167
Mito_carr	58	164
FXa_inhibition	64	163
Roc	158	158
CUB	51	156
Nebulin	4	153
zf-RING_5	149	151
BTB	140	148
7TM_GPCR_Srsx	146	146
Kelch_3	63	142
Ldl_recept_b	14	142
Lectin_C	89	141
Arm	37	140
zf-C3HC4_4	134	136
Trypsin	130	134
TPR_1	71	131
IQ	62	131
EF-hand_7	107	130
Helicase_C	128	129
Kelch_6	65	129
Kelch_2	58	128
Plectin	8	128
SPRY	114	121
PHD	85	120
VWA_2	82	120
zf-B_box	113	119
SH2	107	119
Arf	115	115
VWA	71	115
MFS_1	114	114
RCC1	21	114
HLH	113	113
CH	75	112
Laminin_G_2	44	111
C2-set_2	94	110
SAM_2	88	108
ABC_tran	69	107
SAM_1	93	105
Hemopexin	26	100
Laminin_G_1	36	99
Kelch_4	51	98
Filamin	11	98
Cadherin_2	95	95
EF-hand_6	75	93
KH_1	37	92
MMR_HSR1	90	91
DEAD	86	88
PRY	87	87
TPR_2	58	87
RCC1_2	20	87
Filament	83	83
Ion_trans_2	68	83
WW	49	83
ubiquitin	61	81
Cadherin_C_2	79	79
C1_1	61	79
Histone	77	77
zf-CCCH	56	77
TIG	27	76
RhoGEF	72	74
Kazal_2	47	74
SRCR	19	74
zf-H2C2_5	43	73
UCH_1	72	72
RhoGAP	71	71
adh_short	70	70
MHC_I	70	70
TPR_12	40	69
Annexin	16	68
Bromodomain	47	66
zf-met	36	65
Prok-RING_4	62	62
Homeobox_KN	60	61
BACK	60	60
p450	60	60
HMG_box	50	60
EF-hand_8	48	60
Cadherin_3	5	60
F-box	59	59
SCAN	59	59
AAA	52	59
VWC	28	59
LRR_5	43	58
LRR_6	28	58
HMG_box_2	48	57
LRRNT	47	56
CBFD_NFYB_HMF	55	55
EF-hand_5	40	55
MORN	16	55
AAA_5	38	54
BTB_2	53	53
RabGAP-TBC	53	53
ABC_membrane	37	53
VWD	16	53
F-box-like	52	52
TAS2R	52	52
Hormone_recep	52	52
Y_phosphatase	40	52
EGF_3	25	52
Cadherin_tail	51	51
Forkhead	51	51
MAGE	48	51
