	genes	instances
zf-C2H2	713	5256
zf-H2C2_2	424	1107
ig	399	979
Cadherin	143	864
I-set	232	838
7tm_1	768	768
fn3	155	761
Ig_3	249	752
Ig_2	345	738
EGF	162	721
Ank	224	690
Collagen	83	679
Ank_4	262	656
LRR_8	215	578
Ank_5	241	572
Ank_3	209	509
Pkinase	491	504
Ank_2	252	501
Pkinase_Tyr	481	494
7tm_4	478	478
EGF_CA	111	459
KRAB	427	433
RRM_1	228	383
V-set	349	380
Sushi	71	360
WD40	151	349
EGF_2	103	308
DUF1220	27	307
zf-C3HC4	295	299
Homeobox	263	293
Kelch_1	74	271
PH	234	264
Keratin_B2_2	86	259
SH3_2	191	257
PDZ	144	250
Spectrin	22	250
SH3_1	190	243
cEGF	55	242
C1-set	202	236
zf-RING_UBOX	233	235
zf-C2H2_6	168	229
zf-C3HC4_2	222	225
SH3_9	172	225
zf-RING_2	221	223
zf-C2H2_4	163	222
Ldl_recept_a	43	212
zf-C3HC4_3	205	210
Laminin_EGF	34	209
C2	131	207
hEGF	52	199
LRR_4	130	189
zf-RING_5	182	185
Ion_trans	114	182
EF-hand_1	100	178
TSP_1	59	178
LIM	78	173
Nebulin	4	168
Ras	165	165
Mito_carr	58	164
FXa_inhibition	64	163
Roc	157	157
CUB	49	152
BTB	139	147
7TM_GPCR_Srsx	145	145
Lectin_C	90	142
Ldl_recept_b	14	142
Arm	36	139
Trypsin	130	137
IQ	64	137
zf-C3HC4_4	133	135
TPR_1	71	135
Kelch_3	63	135
Helicase_C	129	130
Plectin	8	130
Kelch_6	65	129
Kelch_2	58	128
EF-hand_7	104	126
zf-B_box	117	123
PHD	87	123
SPRY	113	120
VWA_2	82	120
SH2	107	118
Laminin_G_2	44	116
VWA	71	115
MFS_1	114	114
RCC1	21	114
HLH	113	113
Arf	113	113
C2-set_2	94	110
CH	74	110
SAM_2	88	108
ABC_tran	69	107
SAM_1	93	105
Laminin_G_1	36	102
Hemopexin	26	100
Filamin	11	98
Kelch_4	52	97
Cadherin_2	95	95
MMR_HSR1	92	93
KH_1	37	92
EF-hand_6	74	91
DEAD	86	88
PRY	87	87
WW	48	87
RCC1_2	20	87
TPR_2	57	86
Filament	83	83
Ion_trans_2	67	82
ubiquitin	60	80
Cadherin_C_2	79	79
C1_1	61	79
Histone	78	78
