	sim_dom1	sim_dom2	prob1	pval1	score1	aligned_cols1	ident_perc1	prob2	pval2	score2	aligned_cols2	ident_perc2
0	IDO	Trp_dioxygenase	99.81	2.5e-26	198.33	109	17	99.79	1.7e-25	193.44	109	17
1	F5_F8_type_C	Glyco_hydro_2_N	0.05	0.81	5.40	1	0	0.06	0.78	4.67	1	0
2	Laminin_N	Glyco_hydro_2_N	0.05	0.82	6.83	1	0	0.04	0.92	6.52	1	0
3	Glyco_hydro_2_N	Ephrin_lbd	0.15	0.47	9.29	1	0	0.16	0.44	9.22	1	0
4	START	Polyketide_cyc	95.78	1.4e-06	33.87	42	5	95.81	9.8e-07	32.61	42	5
5	START	IP_trans	0.09	0.66	8.87	7	14	0.56	0.22	12.11	31	6
6	Polyketide_cyc	IP_trans	0.49	0.21	10.98	1	0	0.38	0.24	10.37	1	0
7	UQ_con	UEV	96.62	1.4e-07	38.89	59	15	96.07	4.4e-07	40.32	59	15
8	2OG-FeII_Oxy_2	FTO_NTD	99.50	1.7e-20	131.87	80	15	99.44	7.6e-20	135.17	80	15
9	2OG-FeII_Oxy_2	2OG-FeII_Oxy_3	63.19	0.0012	22.16	17	24	82.25	0.00024	23.85	17	24
10	2OG-FeII_Oxy_2	2OG-FeII_Oxy_4	89.50	3.4e-05	30.28	67	15	91.88	1.7e-05	28.98	67	15
11	2OG-FeII_Oxy_2	JmjN	0.06	0.74	4.89	1	0	0.04	0.91	4.75	1	0
12	2OG-FeII_Oxy_2	JmjC	10.50	0.012	16.87	26	4	34.00	0.0023	18.89	26	4
13	2OG-FeII_Oxy_2	PhyH	7.52	0.016	18.53	20	5	6.79	0.021	17.30	17	12
14	2OG-FeII_Oxy_2	TauD	1.97	0.057	16.59	25	12	2.91	0.038	17.45	25	12
15	2OG-FeII_Oxy_2	Cupin_4	22.28	0.013	21.22	26	12	58.42	0.0025	25.61	27	11
16	2OG-FeII_Oxy_2	cNMP_binding	0.26	0.24	8.19	5	40	0.29	0.24	8.83	2	100
17	2OG-FeII_Oxy_2	2OG-FeII_Oxy	19.78	0.0079	17.65	9	33	24.84	0.0052	17.52	9	33
18	2OG-FeII_Oxy_2	Cupin_8	5.19	0.025	19.22	27	11	8.56	0.013	20.85	27	11
19	2OG-FeII_Oxy_2	Pirin	0.85	0.13	11.52	14	14	3.49	0.04	13.94	15	13
20	2OG-FeII_Oxy_2	ARD	6.94	0.029	16.62	31	16	21.87	0.0081	19.23	34	15
21	2OG-FeII_Oxy_2	HgmA	0.36	0.4	13.04	18	17	3.66	0.085	18.13	20	15
22	2OG-FeII_Oxy_2	PMI_typeI	0.69	0.14	15.38	19	21	0.85	0.12	15.97	21	19
