	X	bind_num	domain	domain_len	hits_frac	hits_num	ligand	method
0	10	6	2OG-FeII_Oxy_3	96	0.0	0.0	ion	instances_individuals_change_ratio
1	10	6	2OG-FeII_Oxy_3	96	0.0	0.0	ion	aa_ref_overlap_individuals_change_ratio
2	10	6	2OG-FeII_Oxy_3	96	0.166666666667	1.0	ion	jsd_100way_instances_major_ratio
3	10	6	2OG-FeII_Oxy_3	96	0.0	0.0	ion	jsd_100way_aa_not_used_ratio
4	10	6	2OG-FeII_Oxy_3	96	0.0	0.0	ion	jsd_mul_aa_ref_SE
5	10	6	2OG-FeII_Oxy_3	96	0.0	0.0	ion	jsd_SE_diff_ratio
6	10	6	2OG-FeII_Oxy_3	96	0.0	0.0	ion	SE_jsd_diff_ratio
7	10	6	2OG-FeII_Oxy_3	96	0.166666666667	1.0	ion	jsds_ratio
8	10	6	2OG-FeII_Oxy_3	96	0.0	0.0	ion	jsds_subtraction
9	10	6	2OG-FeII_Oxy_3	96	0.0	0.0	max	instances_individuals_change_ratio
10	10	6	2OG-FeII_Oxy_3	96	0.0	0.0	max	aa_ref_overlap_individuals_change_ratio
11	10	6	2OG-FeII_Oxy_3	96	0.166666666667	1.0	max	jsd_100way_instances_major_ratio
12	10	6	2OG-FeII_Oxy_3	96	0.0	0.0	max	jsd_100way_aa_not_used_ratio
13	10	6	2OG-FeII_Oxy_3	96	0.0	0.0	max	jsd_mul_aa_ref_SE
14	10	6	2OG-FeII_Oxy_3	96	0.0	0.0	max	jsd_SE_diff_ratio
15	10	6	2OG-FeII_Oxy_3	96	0.0	0.0	max	SE_jsd_diff_ratio
16	10	6	2OG-FeII_Oxy_3	96	0.166666666667	1.0	max	jsds_ratio
17	10	6	2OG-FeII_Oxy_3	96	0.0	0.0	max	jsds_subtraction
18	10	1	AMP-binding_C	74	0.0	0.0	metabolite	instances_individuals_change_ratio
19	10	1	AMP-binding_C	74	0.0	0.0	metabolite	aa_ref_overlap_individuals_change_ratio
20	10	1	AMP-binding_C	74	1.0	1.0	metabolite	jsd_100way_instances_major_ratio
21	10	1	AMP-binding_C	74	0.0	0.0	metabolite	jsd_100way_aa_not_used_ratio
22	10	1	AMP-binding_C	74	0.0	0.0	metabolite	jsd_mul_aa_ref_SE
23	10	1	AMP-binding_C	74	0.0	0.0	metabolite	jsd_SE_diff_ratio
24	10	1	AMP-binding_C	74	0.0	0.0	metabolite	SE_jsd_diff_ratio
25	10	1	AMP-binding_C	74	0.0	0.0	metabolite	jsds_ratio
26	10	1	AMP-binding_C	74	0.0	0.0	metabolite	jsds_subtraction
27	10	1	AMP-binding_C	74	0.0	0.0	max	instances_individuals_change_ratio
28	10	1	AMP-binding_C	74	0.0	0.0	max	aa_ref_overlap_individuals_change_ratio
29	10	1	AMP-binding_C	74	1.0	1.0	max	jsd_100way_instances_major_ratio
30	10	1	AMP-binding_C	74	0.0	0.0	max	jsd_100way_aa_not_used_ratio
31	10	1	AMP-binding_C	74	0.0	0.0	max	jsd_mul_aa_ref_SE
32	10	1	AMP-binding_C	74	0.0	0.0	max	jsd_SE_diff_ratio
33	10	1	AMP-binding_C	74	0.0	0.0	max	SE_jsd_diff_ratio
34	10	1	AMP-binding_C	74	0.0	0.0	max	jsds_ratio
35	10	1	AMP-binding_C	74	0.0	0.0	max	jsds_subtraction
36	10	12	ANAPC3	82	0.2	2.0	peptide	instances_individuals_change_ratio
37	10	12	ANAPC3	82	0.2	2.0	peptide	aa_ref_overlap_individuals_change_ratio
