	genes	instances
zf-C2H2	695	4608
zf-H2C2_2	428	1135
ig	399	979
Cadherin	143	864
I-set	232	838
7tm_1	768	768
fn3	155	761
Ig_3	249	753
Ig_2	345	738
EGF	162	721
Ank	224	691
Collagen	83	679
Ank_4	262	656
LRR_8	215	578
Ank_5	241	572
Pkinase	491	504
Ank_3	207	504
Ank_2	250	496
Pkinase_Tyr	481	494
7tm_4	478	478
EGF_CA	111	459
KRAB	427	433
V-set	360	388
RRM_1	228	384
Sushi	71	360
WD40	151	349
EGF_2	103	308
DUF1220	27	307
zf-C3HC4	295	299
Homeobox	263	293
Spectrin	24	280
Kelch_1	74	271
PH	234	264
Keratin_B2_2	86	259
SH3_2	191	257
PDZ	144	250
SH3_1	190	243
C1-set	206	242
cEGF	55	241
zf-RING_UBOX	236	238
zf-RING_2	223	225
zf-C3HC4_2	222	225
SH3_9	172	225
zf-C2H2_6	164	220
zf-C2H2_4	162	218
Ldl_recept_a	43	212
zf-C3HC4_3	206	211
C2	132	209
Laminin_EGF	34	209
hEGF	52	199
zf-RING_5	180	183
LRR_4	128	183
Ion_trans	114	182
EF-hand_1	100	178
TSP_1	59	178
LIM	78	173
Nebulin	4	168
Ras	165	165
Mito_carr	58	164
FXa_inhibition	64	163
Roc	157	157
CUB	49	152
BTB	139	147
7TM_GPCR_Srsx	145	145
Lectin_C	90	142
Kelch_3	63	142
Ldl_recept_b	14	142
Arm	36	139
Trypsin	130	137
zf-C3HC4_4	133	135
TPR_1	71	135
IQ	62	132
Helicase_C	129	130
Plectin	8	130
Kelch_6	65	129
Kelch_2	58	128
EF-hand_7	105	127
zf-B_box	117	123
PHD	87	123
SPRY	113	120
VWA_2	82	120
SH2	106	117
VWA	71	115
MFS_1	114	114
RCC1	21	114
HLH	113	113
Arf	113	113
Laminin_G_2	44	111
C2-set_2	94	110
CH	74	110
SAM_2	88	108
ABC_tran	69	107
SAM_1	93	105
Hemopexin	26	100
Kelch_4	51	98
Filamin	11	98
Laminin_G_1	36	97
Cadherin_2	95	95
MMR_HSR1	92	93
EF-hand_6	74	92
KH_1	37	92
DEAD	86	88
WW	49	88
PRY	87	87
RCC1_2	20	87
TPR_2	57	86
Filament	83	83
Ion_trans_2	68	83
ubiquitin	60	80
Cadherin_C_2	79	79
C1_1	61	79
Histone	77	77
TIG	27	77
RhoGEF	73	75
zf-CCCH	54	75
SRCR	20	75
Kazal_2	47	74
UCH	73	73
zf-H2C2_5	42	72
UCH_1	71	71
adh_short	70	70
RhoGAP	70	70
MHC_I	70	70
TPR_12	40	69
Annexin	16	68
adh_short_C2	66	66
Bromodomain	47	66
p450	64	64
zf-met	35	64
Homeobox_KN	61	62
Prok-RING_4	61	61
AAA_5	40	61
BACK	60	60
ResIII	58	60
HMG_box	50	60
EF-hand_8	48	60
EF-hand_5	44	60
Cadherin_3	5	60
SCAN	59	59
AAA	52	59
VWC	28	59
F-box	58	58
LRRNT	49	58
LRR_5	43	58
HMG_box_2	48	57
MORN	16	56
CBFD_NFYB_HMF	55	55
BTB_2	53	53
RabGAP-TBC	53	53
ABC_membrane	37	53
EGF_3	25	53
TAS2R	52	52
Hormone_recep	52	52
Y_phosphatase	40	52
Kazal_1	28	52
Cadherin_tail	51	51
F-box-like	51	51
Forkhead	51	51
MAGE	48	51
