	altered_positions	non-altered_positions
2OG-FeII_Oxy_3	362	629
7TM_GPCR_Srsx	12597	20069
7tm_1	63185	95738
7tm_2	4311	7054
7tm_3	1888	3061
7tm_4	43166	63278
A2M	222	592
A2M_N	269	571
A2M_N_2	375	841
A2M_comp	710	1465
A2M_recep	210	593
AAA	2254	5042
AAA_11	859	1650
AAA_12	776	1507
AAA_17	457	949
AAA_18	503	889
AAA_33	634	1425
AAA_5	2794	5028
AAA_6	1193	2477
AAA_7	1447	2614
AAA_8	1360	2387
AAA_9	1092	1953
AA_permease	3869	5987
AA_permease_2	2437	3701
ABC2_membrane_3	2417	3621
ABC_membrane	4146	6422
ABC_tran	4124	6378
ADAM_CR	739	1255
ADAM_spacer1	1163	1529
ADH_N	560	933
ADH_zinc_N	783	1388
ADK	522	1099
AMP-binding	5134	8293
AMP-binding_C	543	850
ANAPC3	308	661
ANAPC4_WD40	1339	2971
ANATO	77	197
ANF_receptor	4072	7567
APC_r	72	188
APOBEC_C	453	630
APOBEC_N	914	1580
ARID	307	974
Aa_trans	2425	3782
Abhydrolase_1	2068	3760
Abhydrolase_6	805	1398
Acetyltransf_1	786	1571
Actin	3246	7478
Acyl-CoA_dh_1	769	1031
Acyl-CoA_dh_2	575	797
Acyl-CoA_dh_M	570	866
Acyl-CoA_dh_N	502	729
Acyltransferase	654	1395
Adap_comp_sub	1063	1758
Adaptin_N	2040	4631
Aldedh	3295	4709
Aldo_ket_red	1541	2462
Aminotran_1_2	2183	3691
Ank	6421	13730
Ank_2	11635	25487
Ank_3	4661	9281
Ank_4	9969	21946
Ank_5	8317	18802
Annexin	1310	2648
Anticodon_1	332	530
Arf	5371	12773
ArfGap	925	2554
Arm	1639	3556
Arm_2	567	2141
Arrestin_C	514	776
Arrestin_N	597	967
Asp	918	2185
BACK	2065	3868
BAH	369	914
BAR	1157	2220
BAR_3	830	1996
BEN	301	634
BEX	340	1159
BIR	313	748
BNR_2	473	584
BRCT	786	1449
BTB	4574	9937
BTB_2	1530	3150
Band_7	615	1295
Bcl-2	387	696
Beta_helix	564	1118
Biotin_lipoyl	274	429
Bromodomain	1202	3406
C1-set	2551	4231
C1-set_C	88	173
C1_1	1141	2715
C1q	1491	2463
C2	7159	13245
C2-set_2	2216	3665
C4	468	824
C8	941	1988
CAMSAP_CH	811	1589
CAP	656	1136
CAP_GLY	350	689
CARD	917	1532
CBFD_NFYB_HMF	1368	1798
CBS	477	985
CCDC144C	430	3399
CD20	952	1649
CD225	288	515
CENP-B_N	176	354
CH	3441	7026
CIMR	772	1143
CNH	1267	2629
COLFI	906	1540
COesterase	2311	4737
CRAL_TRIO	1008	1865
CRAL_TRIO_2	896	1775
CS	333	626
CSD	225	546
CT47	119	3432
CUB	6460	9536
CUT	275	724
Cadherin	25257	39114
Cadherin_2	1973	3312
Cadherin_3	2584	4005
Cadherin_C	1018	1482
Cadherin_C_2	1840	2240
Cadherin_tail	2016	2562
Calpain_III	763	1100
Calponin	110	189
Calx-beta	1232	2136
Carb_anhydrase	1585	2680
CarboxypepD_reg	343	726
Cation_ATPase	1018	1680
Cation_ATPase_C	1013	2034
Cation_ATPase_N	421	810
Choline_transpo	572	1015
Chromo	361	1300
Cir_N	33	78
Clat_adaptor_s	743	1649
Clathrin	781	1746
Clathrin_propel	122	308
Claudin_2	1725	2805
Cnd1	584	1334
Cofilin_ADF	478	980
Collagen	12158	21973
Complex1_LYR	250	389
Connexin	1737	2820
Cpn60_TCP1	2324	4412
Crystall	1336	1908
Cyclin_C	627	1231
Cyclin_N	1177	2836
Cys_knot	504	1303
Cys_rich_FGFR	301	563
Cystatin	840	984
Cyt-b5	302	707
DAGK_cat	598	1111
DCX	351	634
DDE_1	556	1311
DEAD	3776	7720
DENN	940	1990
DEP	634	1123
DHC_N2	2125	4252
DHR-2	1848	3653
DOCK-C2	683	1306
DSPc	1730	2967
DUF1220	398	12020
DUF1986	1454	2215
DUF4599	122	835
Death	971	1722
Defensin_beta_2	309	618
Disintegrin	521	943
DnaJ	863	1810
Dynamin_N	830	1571
Dynein_heavy	3989	6966
E1-E2_ATPase	2532	4651
E2F_TDP	219	649
ECH_1	1307	2889
EF-hand_1	1687	3240
EF-hand_4	469	837
EF-hand_5	483	991
EF-hand_6	1002	1721
EF-hand_7	2999	5213
EF-hand_8	1046	1997
EF-hand_like	389	642
EGF	6146	10640
EGF_2	2226	4031
EGF_3	818	1078
EGF_CA	6438	10122
ELM2	191	483
EMI	252	323
EMP24_GP25L	672	1286
EPTP	527	790
EamA	677	1361
EphA2_TM	436	602
Ephrin_lbd	931	1504
Ephrin_rec_like	375	619
Epiglycanin_TR	128	255
Epimerase	1108	1829
Ets	577	1754
Exo_endo_phos	755	1578
F-box	885	1796
F-box-like	710	1594
F420_oxidored	365	643
F5_F8_type_C	1222	2360
FA	206	361
FAM47	595	1406
FCH	433	1003
FERM_C	752	1593
FERM_M	1829	3417
FERM_N	653	1391
FF	240	768
FG-GAP	590	892
FGF	915	1748
FH2	1761	3733
FHA	660	1479
FKBP_C	824	1390
FXa_inhibition	2100	3308
FYVE	652	1387
Fasciclin	984	1319
Fascin	478	706
Ferric_reduct	563	919
Fibrinogen_C	2049	3081
Filaggrin	623	648
Filament	8947	13130
Filamin	2666	4138
Forkhead	1084	2930
Frizzled	1183	2297
Fz	965	1624
G-alpha	1716	3597
G-gamma	407	795
G-patch	381	696
G-patch_2	250	460
GAF	706	1108
GAGE	326	2510
GATA	191	513
GBP	1024	1765
GDNF	366	862
GPHH	326	765
GPS	452	792
GRAM	762	1664
GRIP	49	431
GST_C	624	1190
GST_C_2	274	690
GST_C_3	519	837
GST_N	542	1003
GST_N_2	289	638
GST_N_3	277	617
GTF2I	146	979
GTP_EFTU	949	2536
GTP_EFTU_D2	335	855
Gal-bind_lectin	879	1975
Galactosyl_T	1099	1776
Gelsolin	1382	2055
Gla	157	376
Globin	360	996
Glutaredoxin	212	444
Glyco_hydro_31	1554	2743
Glyco_transf_29	1942	3168
Glyco_transf_7C	418	815
Glycos_transf_2	1841	3048
GoLoco	132	213
Guanylate_cyc	1675	3403
Guanylate_kin	1126	2398
HA2	513	1099
HATPase_c	404	917
HATPase_c_3	519	1092
HEAT	288	704
HEAT_2	649	1348
HEAT_EZ	338	809
HECT	2290	5770
HLH	1771	3978
HMA	285	574
HMG_box	991	3003
HMG_box_2	1023	2925
HR1	270	532
HRM	549	921
HS1_rep	157	238
HSF_DNA-bind	120	641
HSP20	342	510
HSP70	2185	5835
HTH_Tnp_Tc5	228	538
Hairy_orange	159	277
Helicase_C	3539	8337
Hemopexin	1474	2172
His_Phos_1	748	1515
Hist_deacetyl	998	2538
Histone	3132	3934
Histone_H2A_C	273	530
HlyIII	874	1498
Homeobox	4123	10576
Homeobox_KN	386	1499
Hormone_recep	2669	6049
Humanin	48	264
Hyd_WA	161	257
Hydrolase	2492	4455
Hydrolase_4	925	1327
I-set	27152	43093
IBN_N	315	797
IBR	446	1048
IGFBP	254	773
IL6Ra-bind	409	704
IL8	979	1651
INT_SG_DDX_CT_C	58	509
IQ	1087	1664
IRK	1611	3294
IRS	461	807
Ig_2	16664	26691
Ig_3	20528	32680
Integrin_alpha	78	147
Integrin_alpha2	2984	4810
Interfer-bind	608	973
Interferon	997	1720
Involucrin	63	147
Ion_trans	12625	27513
Ion_trans_2	2024	4330
JAB	361	968
JmjC	675	1957
JmjN	95	245
K167R	768	1013
KH_1	1631	4135
KOW	116	299
KR	1864	2525
KRAB	5526	10831
KRTAP	322	377
Kazal_1	908	1598
Kazal_2	1144	1919
Kelch_1	4066	7875
Kelch_2	1997	3752
Kelch_3	2100	4234
Kelch_4	1562	2906
Kelch_5	226	471
Kelch_6	1929	3851
Keratin_2_head	975	1562
Keratin_B2	890	1719
Keratin_B2_2	2070	3383
Kinesin	4693	9349
Kringle	1109	2236
Kunitz_BPTI	648	889
L27	240	498
LBP_BPI_CETP	927	1134
LCE	568	678
LIM	3330	5987
LRRC37	59	1246
LRRCT	287	537
LRRNT	555	1032
LRR_4	2321	4807
LRR_5	2493	4758
LRR_6	463	737
LRR_8	10714	21210
LRR_9	736	2023
LSM	368	899
Laminin_B	653	898
Laminin_EGF	3755	5335
Laminin_G_1	4262	7425
Laminin_G_2	4467	7807
Laminin_G_3	875	1498
Laminin_N	1376	2221
Ldl_recept_a	3043	4770
Ldl_recept_b	2156	3693
Lectin_C	4247	9062
Lig_chan	692	1958
