	altered_positions	non-altered_positions
7TM_GPCR_Srsx	12597	20069
7tm_1	63185	95738
7tm_4	43166	63278
AAA	2254	5042
AAA_5	2794	5028
ABC_membrane	4146	6422
ABC_tran	4124	6378
Ank	6421	13730
Ank_2	11635	25487
Ank_3	4661	9281
Ank_4	9969	21946
Ank_5	8317	18802
Annexin	1310	2648
Arf	5371	12773
Arm	1639	3556
BACK	2065	3868
BTB	4574	9937
BTB_2	1530	3150
Bromodomain	1202	3406
C1-set	2551	4231
C1_1	1141	2715
C2	7159	13245
C2-set_2	2216	3665
CBFD_NFYB_HMF	1368	1798
CH	3441	7026
CUB	6460	9536
Cadherin	25257	39114
Cadherin_2	1973	3312
Cadherin_3	2584	4005
Cadherin_C_2	1840	2240
Cadherin_tail	2016	2562
Collagen	12158	21973
DEAD	3776	7720
DUF1220	398	12020
EF-hand_1	1687	3240
EF-hand_5	483	991
EF-hand_6	1002	1721
EF-hand_7	2999	5213
EF-hand_8	1046	1997
EGF	6146	10640
EGF_2	2226	4031
EGF_3	818	1078
EGF_CA	6438	10122
F-box	885	1796
F-box-like	710	1594
FXa_inhibition	2100	3308
Filament	8947	13130
Filamin	2666	4138
Forkhead	1084	2930
HLH	1771	3978
HMG_box	991	3003
HMG_box_2	1023	2925
Helicase_C	3539	8337
Hemopexin	1474	2172
Histone	3132	3934
Homeobox	4123	10576
Homeobox_KN	386	1499
Hormone_recep	2669	6049
I-set	27152	43093
IQ	1087	1664
Ig_2	16664	26691
Ig_3	20528	32680
Ion_trans	12625	27513
Ion_trans_2	2024	4330
KH_1	1631	4135
KRAB	5526	10831
Kazal_1	908	1598
Kazal_2	1144	1919
Kelch_1	4066	7875
Kelch_2	1997	3752
Kelch_3	2100	4234
Kelch_4	1562	2906
Kelch_6	1929	3851
Keratin_B2_2	2070	3383
LIM	3330	5987
LRRNT	555	1032
LRR_4	2321	4807
LRR_5	2493	4758
LRR_8	10714	21210
Laminin_EGF	3755	5335
Laminin_G_1	4262	7425
Laminin_G_2	4467	7807
Ldl_recept_a	3043	4770
Ldl_recept_b	2156	3693
Lectin_C	4247	9062
MAGE	1510	4529
MFS_1	14478	22786
MHC_I	1426	1908
MMR_HSR1	3178	6155
MORN	425	861
Mito_carr	5538	9171
Nebulin	1852	2991
PDZ	6579	12071
PH	8049	16706
PHD	1272	3717
PRY	829	1511
Pkinase	38184	83139
Pkinase_Tyr	37354	81022
Plectin	1282	1323
Prok-RING_4	527	1064
RCC1	1647	3755
RCC1_2	714	1805
RRM_1	6294	18206
RabGAP-TBC	2947	6703
Ras	7932	17572
ResIII	2473	5907
RhoGAP	3135	6800
RhoGEF	4347	8433
Roc	5099	11849
SAM_1	2195	4286
SAM_2	2289	4446
SCAN	1706	3291
SH2	2897	5479
SH3_1	3655	7264
SH3_2	4436	8968
SH3_9	3497	7065
SPRY	3484	6622
SRCR	2602	4734
Spectrin	10756	18498
Sushi	6753	11158
TAS2R	3169	4582
TIG	2161	3622
TPR_1	1177	3141
TPR_12	1364	3258
TPR_2	727	2027
TSP_1	3131	4960
Trypsin	10734	15206
UCH	3559	13534
UCH_1	4001	15639
V-set	12665	17777
VWA	6610	10360
VWA_2	3770	6320
VWC	1255	1990
WD40	3985	8747
WW	702	1764
Y_phosphatase	3909	7572
adh_short	4225	6162
adh_short_C2	4604	6798
cEGF	2217	3440
fn3	20464	32929
hEGF	1085	2007
ig	24475	39010
p450	10231	14703
ubiquitin	1291	3005
zf-B_box	1043	2382
zf-C2H2	33689	65210
zf-C2H2_4	1699	3317
zf-C2H2_6	1728	3343
zf-C3HC4	2619	6578
zf-C3HC4_2	1865	4389
zf-C3HC4_3	2216	5182
zf-C3HC4_4	879	2430
zf-CCCH	504	1162
zf-H2C2_2	9772	18152
zf-H2C2_5	463	1257
zf-RING_2	2113	5056
zf-RING_5	1653	3993
zf-RING_UBOX	1801	4481
zf-met	426	1054
