	metabolite_label	peptide_label	rna_label	druglike_label	ion_label	sm_label	dna_label
14-3-3	0.0	1.0	0.0	1.0	0.0	0.0	0.0
2-Hacid_dh	1.0	0.0	0.0	1.0	0.0	1.0	0.0
2OG-FeII_Oxy_2	1.0	0.0	0.0	0.0	1.0	1.0	1.0
3HCDH	0.0	0.0	0.0	1.0	0.0	1.0	0.0
4HBT	1.0	0.0	0.0	0.0	1.0	1.0	0.0
4HBT_2	0.0	0.0	0.0	1.0	0.0	1.0	0.0
5-FTHF_cyc-lig	1.0	0.0	0.0	1.0	1.0	1.0	0.0
5_nucleotid_C	1.0	0.0	0.0	1.0	0.0	1.0	0.0
6PGD	1.0	0.0	0.0	1.0	0.0	1.0	0.0
7TM_GPCR_Srv	0.0	1.0	0.0	0.0	1.0	1.0	0.0
7TM_GPCR_Srw	0.0	1.0	0.0	0.0	1.0	1.0	0.0
AAA_29	1.0	0.0	0.0	1.0	1.0	1.0	0.0
AA_kinase	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ABM	0.0	0.0	0.0	1.0	0.0	1.0	0.0
ACPS	0.0	0.0	0.0	1.0	1.0	1.0	0.0
ACP_syn_III_C	1.0	0.0	0.0	0.0	0.0	0.0	1.0
ACT	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ADH_N_2	1.0	0.0	0.0	1.0	0.0	1.0	0.0
ADK_lid	1.0	0.0	0.0	1.0	1.0	1.0	0.0
ADP_PFK_GK	1.0	0.0	0.0	1.0	0.0	1.0	0.0
ADP_ribosyl_GH	0.0	0.0	0.0	0.0	1.0	0.0	0.0
AICARFT_IMPCHas	0.0	0.0	0.0	1.0	0.0	1.0	0.0
AIF_C	0.0	0.0	0.0	1.0	0.0	1.0	0.0
AIRC	1.0	0.0	0.0	1.0	0.0	1.0	0.0
AIRS	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AIRS_C	1.0	0.0	0.0	0.0	0.0	0.0	0.0
ALAD	1.0	0.0	0.0	1.0	0.0	1.0	0.0
AMPK1_CBM	0.0	0.0	0.0	0.0	0.0	1.0	0.0
APG12	0.0	1.0	0.0	0.0	0.0	0.0	0.0
AP_endonuc_2	1.0	0.0	0.0	1.0	1.0	1.0	1.0
ART	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ASF1_hist_chap	0.0	1.0	0.0	0.0	0.0	0.0	0.0
ATP-cone	1.0	0.0	0.0	1.0	0.0	1.0	0.0
ATP-grasp	1.0	0.0	0.0	1.0	0.0	1.0	0.0
ATP-grasp_2	0.0	0.0	0.0	1.0	0.0	1.0	0.0
ATP-grasp_3	1.0	0.0	0.0	1.0	0.0	1.0	0.0
ATP-grasp_4	1.0	0.0	0.0	1.0	1.0	1.0	0.0
ATP-gua_PtransN	1.0	0.0	0.0	1.0	0.0	1.0	0.0
ATP-gua_Ptrans	1.0	0.0	0.0	1.0	1.0	1.0	0.0
ATP-sulfurylase	1.0	0.0	0.0	1.0	0.0	1.0	0.0
ATP-synt	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ATP-synt_C	0.0	0.0	0.0	1.0	0.0	1.0	0.0
ATP-synt_DE_N	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ATP-synt_ab_C	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ATP_bind_3	0.0	0.0	0.0	0.0	0.0	1.0	0.0
AXH	0.0	1.0	0.0	0.0	0.0	0.0	0.0
A_deaminase	1.0	0.0	0.0	1.0	1.0	1.0	0.0
AbfB	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acetyltransf_10	0.0	0.0	0.0	1.0	0.0	1.0	0.0
Acetyltransf_16	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Acetyltransf_2	0.0	0.0	0.0	1.0	0.0	1.0	0.0
Acetyltransf_3	0.0	0.0	0.0	1.0	1.0	1.0	0.0
Acetyltransf_7	0.0	1.0	0.0	1.0	0.0	1.0	0.0
Aconitase	0.0	0.0	0.0	1.0	0.0	1.0	0.0
Aconitase_C	1.0	0.0	0.0	1.0	0.0	1.0	0.0
Acyl_transf_1	1.0	0.0	0.0	1.0	0.0	1.0	0.0
Acylphosphatase	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Adenylsucc_synt	1.0	0.0	0.0	1.0	1.0	1.0	0.0
AdoHcyase	1.0	0.0	0.0	1.0	0.0	1.0	0.0
AhpC-TSA	0.0	0.0	0.0	1.0	1.0	1.0	0.0
AlaDh_PNT_N	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Ala_racemase_N	0.0	0.0	0.0	1.0	0.0	1.0	0.0
Alba	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ald_Xan_dh_C2	1.0	0.0	0.0	1.0	0.0	0.0	0.0
Ald_Xan_dh_C	0.0	0.0	0.0	1.0	0.0	1.0	0.0
Aldolase_II	0.0	0.0	0.0	1.0	1.0	1.0	0.0
Aldose_epim	1.0	0.0	0.0	1.0	0.0	1.0	0.0
Alk_phosphatase	0.0	0.0	0.0	1.0	1.0	1.0	0.0
Alpha-amylase	1.0	0.0	0.0	1.0	0.0	1.0	0.0
Alpha-amylase_C	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Alpha-mann_mid	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Alpha_L_fucos	0.0	0.0	0.0	1.0	0.0	1.0	0.0
Alpha_adaptinC2	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Alpha_kinase	1.0	0.0	0.0	1.0	0.0	1.0	0.0
Amidase	0.0	0.0	0.0	1.0	0.0	1.0	0.0
Amidase_2	0.0	1.0	0.0	1.0	1.0	0.0	0.0
Amidohydro_1	1.0	0.0	0.0	1.0	1.0	1.0	0.0
