	dna_max	dna_entropy	dna_thresh_25	dna_thresh_50	dna_thresh_75	dna_zthresh_above_0.5	dna_zthresh_above_1	dna_zthresh_above_2	dna_zthresh_above_3	rna_max	rna_entropy	rna_thresh_25	rna_thresh_50	rna_thresh_75	rna_zthresh_above_0.5	rna_zthresh_above_1	rna_zthresh_above_2	rna_zthresh_above_3	ion_max	ion_entropy	ion_thresh_25	ion_thresh_50	ion_thresh_75	ion_zthresh_above_0.5	ion_zthresh_above_1	ion_zthresh_above_2	ion_zthresh_above_3	peptide_max	peptide_entropy	peptide_thresh_25	peptide_thresh_50	peptide_thresh_75	peptide_zthresh_above_0.5	peptide_zthresh_above_1	peptide_zthresh_above_2	peptide_zthresh_above_3	sm_max	sm_entropy	sm_thresh_25	sm_thresh_50	sm_thresh_75	sm_zthresh_above_0.5	sm_zthresh_above_1	sm_zthresh_above_2	sm_zthresh_above_3	domain_length	avg_phastCons	avg_maf	avg_hindex	avg_positve_cnt	avg_clinvar	avg_protein_len	avg_solvent_acc
2OG-FeII_Oxy_3	0.00385302933864	0.870662291171	1.0	0.9375	0.5	0.0	0.0	0.0	0.0	0.00187674642075	0.972759896725	1.0	1.0	0.927083333333	0.0	0.0	0.0	0.0	0.00805845763534	0.914613511844	1.0	0.958333333333	0.625	0.0	0.0	0.0	0.0	0.0086625199765	0.863380597201	0.9375	0.4375	0.075	0.0	0.0	0.0	0.0	0.313167870045	0.736409404414	1.0	1.0	0.777777777778	0.305555555556	0.166666666667	0.111111111111	0.0555555555556	96.0	0.911118091631	1.27041225041e-05	-0.260832656926	0.927083333333	0.0	498.753446293	45.919157197
7TM_GPCR_Srsx	0.000596921367105	0.909570326245	0.727626459144	0.350194552529	0.0700389105058	0.0	0.0	0.0	0.0	0.000217151304241	0.979004019292	0.249027237354	0.0155642023346	0.0	0.0	0.0	0.0	0.0	0.00719186430797	0.862230208159	0.817391304348	0.3	0.0913043478261	0.0	0.0	0.0	0.0	0.00406292453408	0.88266059331	0.645299145299	0.136752136752	0.0128205128205	0.0	0.0	0.0	0.0	0.0154970623553	0.908264975517	0.802325581395	0.313953488372	0.046511627907	0.0	0.0	0.0	0.0	257.0	0.716892407528	0.000446411891595	0.814528117619	10.1245136187	0.176394293126	390.401372014	44.2881607977
7tm_1	0.00166997814085	0.812849532831	0.481343283582	0.182835820896	0.0559701492537	0.0	0.0	0.0	0.0	0.000366399850463	0.991356401712	1.0	0.75	0.0223880597015	0.0	0.0	0.0	0.0	0.0266341380775	0.71943113045	0.735537190083	0.239669421488	0.0785123966942	0.0	0.0	0.0	0.0	0.050261721015	0.955870853952	1.0	1.0	1.0	0.148148148148	0.037037037037	0.010582010582	0.0	0.0160289518535	0.953595601878	0.985507246377	0.942028985507	0.507246376812	0.0	0.0	0.0	0.0	268.0	0.453890166347	0.00104438339511	0.670666771021	39.2052238806	0.349564676617	360.130600201	45.6490889438
7tm_2	0.000206713171792	0.879398013202	0.069387755102	0.0122448979592	0.00408163265306	0.0	0.0	0.0	0.0	5.90486852161e-05	0.982985243722	0.00408163265306	0.0	0.0	0.0	0.0	0.0	0.0	0.0860166475177	0.802720238904	1.0	0.877551020408	0.404081632653	0.00408163265306	0.00408163265306	0.0	0.0	0.00520517630503	0.822567400331	0.404081632653	0.0530612244898	0.00816326530612	0.0	0.0	0.0	0.0	0.0833436921239	0.73011911933	0.340425531915	0.148936170213	0.0425531914894	0.00425531914894	0.00425531914894	0.00425531914894	0.0	245.0	0.768780403361	0.000285926757554	0.856153197327	3.20408163265	0.0326530612245	1095.48910884	43.4231363686
7tm_3	0.000102775346022	0.910299022073	0.109243697479	0.0252100840336	0.0	0.0	0.0	0.0	0.0	0.000162882643053	0.943575617297	0.0756302521008	0.0168067226891	0.0	0.0	0.0	0.0	0.0	0.0568979568779	0.842222814147	1.0	0.928571428571	0.605042016807	0.00840336134454	0.00420168067227	0.0	0.0	0.000308306334773	0.902586540756	0.121848739496	0.0	0.0	0.0	0.0	0.0	0.0	0.0118340793997	0.895275795292	0.429223744292	0.159817351598	0.0502283105023	0.0	0.0	0.0	0.0	238.0	0.812828566054	6.12973213738e-05	0.778520993724	1.64705882353	0.0252100840336	926.291441784	45.9766262813
7tm_4	0.0282810851932	0.821139972838	1.0	0.989285714286	0.696428571429	0.00357142857143	0.0	0.0	0.0	0.00191237346735	0.980743261876	1.0	0.957142857143	0.135714285714	0.0	0.0	0.0	0.0	0.0280771050602	0.718649231548	0.746428571429	0.378571428571	0.139285714286	0.0	0.0	0.0	0.0	0.122533753514	0.938692477254	1.0	1.0	1.0	0.507142857143	0.246428571429	0.075	0.0357142857143	0.0749331638217	0.931104134479	1.0	0.946280991736	0.52479338843	0.0371900826446	0.00413223140496	0.00413223140496	0.0	280.0	0.206811562413	0.00170554037286	0.799631792677	25.5107142857	0.0	317.512101166	42.4477071569
A2M_N_2	0.000195505926968	0.940264393786	0.604316546763	0.179856115108	0.00719424460432	0.0	0.0	0.0	0.0	0.000327084038872	0.969616346035	0.892086330935	0.230215827338	0.0215827338129	0.0	0.0	0.0	0.0	0.0214559137821	0.853809366618	1.0	0.697841726619	0.194244604317	0.0	0.0	0.0	0.0	0.00242801918648	0.900695727741	0.525179856115	0.0575539568345	0.00719424460432	0.0	0.0	0.0	0.0	0.0143367275596	0.866675320454	0.287769784173	0.0431654676259	0.0143884892086	0.0	0.0	0.0	0.0	139.0	0.573996540863	0.000617656172553	0.0847065204979	0.762589928058	0.0	1623.501967	50.1907482585
AAA_12	0.000418823619839	0.92477721027	0.69	0.31	0.03	0.0	0.0	0.0	0.0	0.00401414651424	0.868178547617	0.907514450867	0.514450867052	0.179190751445	0.0	0.0	0.0	0.0	0.112486682832	0.76871924621	0.994871794872	0.861538461538	0.54358974359	0.00512820512821	0.00512820512821	0.00512820512821	0.0	0.00123835133854	0.831893361627	0.23	0.025	0.0	0.0	0.0	0.0	0.0	0.275954306126	0.643042840913	0.602150537634	0.349462365591	0.209677419355	0.0913978494624	0.0645161290323	0.0591397849462	0.0376344086022	200.0	0.822507556097	6.25266585233e-05	-0.145649188312	1.445	0.02	1718.60565963	50.7843707792
AAA_17	0.00347638339736	0.80205695322	0.823529411765	0.573529411765	0.227941176471	0.0	0.0	0.0	0.0	0.00154941901565	0.953356780956	1.0	1.0	0.566176470588	0.0	0.0	0.0	0.0	0.00223338790238	0.933581555091	0.934579439252	0.364485981308	0.0841121495327	0.0	0.0	0.0	0.0	0.0113464323804	0.96625494258	1.0	1.0	0.595588235294	0.0	0.0	0.0	0.0	0.0995653122663	0.778723955542	0.938775510204	0.632653061224	0.295918367347	0.0510204081633	0.0408163265306	0.0102040816327	0.0102040816327	136.0	0.841235263083	0.000396853135852	-0.412115641711	1.33823529412	0.0441176470588	481.8758032	54.4547510823
AAA_18	0.00324620422907	0.798824371779	0.776923076923	0.430769230769	0.184615384615	0.0	0.0	0.0	0.0	0.00421504955739	0.898008089648	0.992307692308	0.784615384615	0.507692307692	0.0	0.0	0.0	0.0	0.0167316682637	0.880363763485	1.0	0.942307692308	0.673076923077	0.0	0.0	0.0	0.0	0.00260687852278	0.794348255518	0.307692307692	0.0692307692308	0.00769230769231	0.0	0.0	0.0	0.0	0.70616465807	0.624653934972	0.986301369863	0.890410958904	0.630136986301	0.205479452055	0.123287671233	0.109589041096	0.0821917808219	130.0	0.863626603767	0.000100465761445	-0.386410950161	1.36153846154	0.153846153846	478.419284327	53.5186623932
